Product Category,Product Link,Name,New Price,Old Price,Discount,Image Source
Tool Shop,http://yayvo.com/remote-for-changhong-ruba-led-lcd-tv-universal.html,Remote for Changhong Ruba LED & LCD TV Universal,Rs.698,Rs.999,30%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/d/9de1fb7c8d98fd74c07534219b2e0090_2.jpg
Tabarruk,http://yayvo.com/i99-wireless-airpods-a-airpods-3.html,i99 Wireless Airpods â Airpods,"Rs.2,799","Rs.3,999",30%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/0/d073b36f71828d192f42a4e0f2000d32.jpeg
Boya,http://yayvo.com/boya-by-m1-compact-on-camera-video-microphone-youtube-vlogging-recording-mic-for-phone-smartphone.html,BOYA BY-M1 Compact On-Camera Video Microphone Youtube Vlogging Recording Mic for Phone Smartphone,"Rs.3,199",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/5/75d8cd93a79b76ab3c1009f118ee220d_8.jpg
LapTab,http://yayvo.com/spy-hidden-video-camera-in-shirt-button-with-mic-3.html,Spy Hidden Video Camera in Shirt Button with mic,"Rs.1,799","Rs.3,800",53%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/d/8deecdf95dba4209f55cfbffba435804_1.jpg
Strings,http://yayvo.com/strings-album-30-audio-cassette.html,Strings Album 30 Audio Cassette,Rs.599,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/e/8/e8aa4b5459c69b1984b66941045b6a8e.jpg
Tool Shop,http://yayvo.com/camelion-intelligent-fast-battery-mini-travel-charger-for-aa-aaa-9v-3.html,Camelion Intelligent Fast Battery mini Travel Charger for AA/AAA/9V,Rs.999,"Rs.1,500",33%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/e/debe5f1b83751993c7b1ef1f1cfbff57.jpg
Living Style,http://yayvo.com/gorilla-camera-and-mobile-tripod-stand-811-black-3.html,Gorilla Camera And Mobile Tripod Stand 811 - Black,Rs.990,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/c/1/c187b7dc881b7ce11357a2fd085afd0b_4.jpg
Tool Shop,http://yayvo.com/universal-black-remote-for-eco-star-led-lcd-tv-7.html,Universal Black Remote for Eco Star LED & LCD TV,Rs.698,Rs.999,30%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/b/0/b073a2bc5d46fbbd20f8e06eac47bcb3_2.jpg
The AZY,http://yayvo.com/pubg-gamepad-5in1-for-android-and-ios-2.html,PUBG Gamepad 5in1 for Android and IOS,Rs.580,Rs.850,32%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/f/ff83fb9d4471db204cca0433c169f488.jpg
Strings,http://yayvo.com/strings-official-album-30-audio-cd-3.html,Strings Official Album 30 Audio CD,Rs.299,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/8/d8172413a8581c4c1aa478aabbeafda3.jpg
Tabarruk,http://yayvo.com/f10-smart-watch.html,F10 Smart Watch,"Rs.3,500","Rs.4,000",12%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/6/a/6a092648eacbc1a472369162896642ba_1.jpg
Other,http://yayvo.com/led-studio-camera-ring-light-photography-16cm-64-led-bulb-photo-dimmable-range-1-10-for-make-up-live-streaming-youtubers-tiktok-blogging-selfie-video.html,LED Studio Camera Ring Light Photography 16cm | 64 LED Bulb | Photo Dimmable Range 1-10 | for Make Up | Live Streaming | Youtubers | Tiktok | Blogging | Selfie | Video,"Rs.1,299","Rs.1,800",28%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/d/5/d53e86561a96522999b253cc1f5de6e3.jpg
Other,http://yayvo.com/neckband-double-fan-mini-usb-portable-handsfree-sports-fan-3.html,Neckband Double Fan Mini USB Portable Handsfree Sports Fan,"Rs.1,199","Rs.1,500",20%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/6/06107fe7f010c1a133bd64b83778a7d7.jpg
Other,http://yayvo.com/bundle-of-3-car-mobile-phone-holder-stand-car-charger-dual-usb-port-car-universal-charger-5-in-1.html,Bundle of 3 - Car Mobile Phone Holder Stand + Car Charger Dual USB Port + Car Universal Charger 5 in 1,Rs.799,"Rs.1,299",38%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/4/84f4566c4093fc75c36137f23bdf897c.jpg
Ahstore,http://yayvo.com/mini-portable-s6-3-magnetic-suction-bluetooth-4-1-handsfree-sport-wireless-heavy-bass-noise-reduction-handfree-4.html,Mini Portable S6-3 Magnetic Suction Bluetooth 4.1 Handsfree Sport Wireless Heavy Bass Noise Reduction Handfree,Rs.425,Rs.499,15%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/8/0/8083eeb945acd4bb53ea621ef5993bf8_1.jpg
Shopping Solutions,http://yayvo.com/professional-wireless-gaming-mouse-3.html,Professional Wireless Gaming Mouse,Rs.999,"Rs.1,999",50%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/0/c/0c0f172db6459999448caf867968b94f.JPG
Coolbell,http://yayvo.com/cb-3136-waterproof-15-6a-inch-laptop-business-backpack-blue-2.html,CB 3136 Waterproof 15.6³ Inch Laptop Business Backpack Blue,"Rs.2,344","Rs.3,047",23%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/2/f21f6a84808c5537ffc22efc240850f9_3.jpg
AL-KAREEM,http://yayvo.com/ipazzport-wireless-2-4ghz-92-key-keyboard.html,IPazzport Wireless 2.4GHz 92-Key Keyboard,"Rs.1,199",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/f/0/f02e6af38ddd14eac8112ef587e0c386_1.jpg
Muzammil Store,http://yayvo.com/lenovo-b210-laptop-backpack-15-6-inch-casual-backpack-black-3.html,Lenovo B210 Laptop Backpack 15.6 Inch Casual Backpack - Black,"Rs.1,999",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/2/12481850464e50fb2bc4869ef1b1ec8c_3.jpg
Living Style,http://yayvo.com/laptop-bags-sleeve-notebook-case-for-13-inch-black-3.html,Laptop Bags Sleeve Notebook Case For 13 Inch Black,"Rs.1,850",None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/7/7/77ddadcba041720d1b233f69877ec08b_5.jpg
Red Dragon,http://yayvo.com/redragon-gaming-mouse-m602-1-nemeanlion.html,REDRAGON GAMING MOUSE M602-1 NEMEANLION,"Rs.1,800","Rs.3,300",45%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/1/d/1d69e946718d2195c1143af67cf4723b_1.jpg
Dicota,http://yayvo.com/laptop-bag-black-7.html,Laptop Bag-Black,Rs.890,"Rs.1,300",32%,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/5/a5b2d31c35f66d0d6db2a61204ce8bf1.jpg
PQWH,http://yayvo.com/waterproof-shower-speaker-scratches-on-product-3.html,Waterproof Shower Speaker Scratches on Product Unsealed,Rs.999,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/a/7/a7812a53dfbdb8e97fcdbddd80059144_1.jpg
Living Style,http://yayvo.com/easy-cap-4-port-usb-converter-black-2.html,Easy Cap - 4 Port USB Converter - BLACK,Rs.890,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/2/92c05bfe15aae6e7270d5c194cf6c4ce_13.jpg
PQWH,http://yayvo.com/ptcl-3g-nitro-cloud-scratches-on-product-3.html,PTCL 3G Nitro Cloud Scratches on Product Unsealed,Rs.699,None,None,https://d2idx9epdcbzys.cloudfront.net/media/catalog/product/cache/1/small_image/160x200/9df78eab33525d08d6e5fb8d27136e95/9/5/952e58f71fea39736a3939f362ea73d0_1.jpg
